date,model,office,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-03-24,economist,P,R,Trump,0.504,,,0.47100000000000003
2020-03-25,economist,P,D,Biden,0.486,,,0.528
2020-03-25,economist,P,R,Trump,0.51,,,0.47200000000000003
2020-03-26,economist,P,D,Biden,0.473,,,0.526
2020-03-26,economist,P,R,Trump,0.522,,,0.474
2020-03-27,economist,P,D,Biden,0.47100000000000003,,,0.526
2020-03-27,economist,P,R,Trump,0.524,,,0.474
2020-03-28,economist,P,D,Biden,0.47,,,0.526
2020-03-28,economist,P,R,Trump,0.526,,,0.474
2020-03-29,economist,P,D,Biden,0.46799999999999997,,,0.524
2020-03-29,economist,P,R,Trump,0.526,,,0.47600000000000003
2020-03-30,economist,P,D,Biden,0.474,,,0.527
2020-03-30,economist,P,R,Trump,0.521,,,0.473
2020-03-31,economist,P,D,Biden,0.47700000000000004,,,0.528
2020-03-31,economist,P,R,Trump,0.518,,,0.47200000000000003
2020-04-01,economist,P,D,Biden,0.506,,,0.529
2020-04-01,economist,P,R,Trump,0.49,,,0.47100000000000003
2020-04-02,economist,P,D,Biden,0.518,,,0.529
2020-04-02,economist,P,R,Trump,0.47600000000000003,,,0.47100000000000003
2020-04-03,economist,P,D,Biden,0.537,,,0.53
2020-04-03,economist,P,R,Trump,0.45799999999999996,,,0.47
2020-04-04,economist,P,D,Biden,0.537,,,0.53
2020-04-04,economist,P,R,Trump,0.45799999999999996,,,0.47
2020-04-05,economist,P,D,Biden,0.537,,,0.53
2020-04-05,economist,P,R,Trump,0.45799999999999996,,,0.47
2020-04-06,economist,P,D,Biden,0.551,,,0.531
2020-04-06,economist,P,R,Trump,0.444,,,0.469
2020-04-07,economist,P,D,Biden,0.552,,,0.53
2020-04-07,economist,P,R,Trump,0.442,,,0.47
2020-04-08,economist,P,D,Biden,0.5479999999999999,,,0.529
2020-04-08,economist,P,R,Trump,0.447,,,0.47100000000000003
2020-04-09,economist,P,D,Biden,0.5429999999999999,,,0.527
2020-04-09,economist,P,R,Trump,0.45299999999999996,,,0.473
2020-04-10,economist,P,D,Biden,0.5429999999999999,,,0.528
2020-04-10,economist,P,R,Trump,0.45299999999999996,,,0.47200000000000003
2020-04-11,economist,P,D,Biden,0.547,,,0.531
2020-04-11,economist,P,R,Trump,0.44799999999999995,,,0.469
2020-04-12,economist,P,D,Biden,0.5479999999999999,,,0.529
2020-04-12,economist,P,R,Trump,0.447,,,0.47100000000000003
2020-04-13,economist,P,D,Biden,0.569,,,0.5329999999999999
2020-04-13,economist,P,R,Trump,0.426,,,0.467
2020-04-14,economist,P,D,Biden,0.5710000000000001,,,0.5329999999999999
2020-04-14,economist,P,R,Trump,0.424,,,0.467
2020-04-15,economist,P,D,Biden,0.565,,,0.53
2020-04-15,economist,P,R,Trump,0.43,,,0.47
2020-04-16,economist,P,D,Biden,0.591,,,0.532
2020-04-16,economist,P,R,Trump,0.40399999999999997,,,0.46799999999999997
2020-04-17,economist,P,D,Biden,0.606,,,0.534
2020-04-17,economist,P,R,Trump,0.389,,,0.466
2020-04-18,economist,P,D,Biden,0.593,,,0.531
2020-04-18,economist,P,R,Trump,0.401,,,0.469
2020-04-19,economist,P,D,Biden,0.596,,,0.531
2020-04-19,economist,P,R,Trump,0.39899999999999997,,,0.469
2020-04-20,economist,P,D,Biden,0.5920000000000001,,,0.53
2020-04-20,economist,P,R,Trump,0.40299999999999997,,,0.47
2020-04-21,economist,P,D,Biden,0.612,,,0.5329999999999999
2020-04-21,economist,P,R,Trump,0.38299999999999995,,,0.467
2020-04-22,economist,P,D,Biden,0.638,,,0.536
2020-04-22,economist,P,R,Trump,0.35600000000000004,,,0.46399999999999997
2020-04-23,economist,P,D,Biden,0.65,,,0.536
2020-04-23,economist,P,R,Trump,0.345,,,0.46399999999999997
2020-04-24,economist,P,D,Biden,0.655,,,0.539
2020-04-24,economist,P,R,Trump,0.341,,,0.461
2020-04-25,economist,P,D,Biden,0.653,,,0.539
2020-04-25,economist,P,R,Trump,0.342,,,0.461
2020-04-26,economist,P,D,Biden,0.655,,,0.5379999999999999
2020-04-26,economist,P,R,Trump,0.34,,,0.462
2020-04-27,economist,P,D,Biden,0.643,,,0.539
2020-04-27,economist,P,R,Trump,0.35100000000000003,,,0.461
2020-04-28,economist,P,D,Biden,0.6409999999999999,,,0.5379999999999999
2020-04-28,economist,P,R,Trump,0.354,,,0.462
2020-04-29,economist,P,D,Biden,0.645,,,0.539
2020-04-29,economist,P,R,Trump,0.35,,,0.461
2020-04-30,economist,P,D,Biden,0.648,,,0.537
2020-04-30,economist,P,R,Trump,0.34700000000000003,,,0.46299999999999997
2020-05-01,economist,P,D,Biden,0.6409999999999999,,,0.5379999999999999
2020-05-01,economist,P,R,Trump,0.354,,,0.462
2020-05-02,economist,P,D,Biden,0.688,,,0.537
2020-05-02,economist,P,R,Trump,0.308,,,0.46299999999999997
2020-05-03,economist,P,D,Biden,0.7120000000000001,,,0.537
2020-05-03,economist,P,R,Trump,0.284,,,0.46299999999999997
2020-05-04,economist,P,D,Biden,0.742,,,0.5379999999999999
2020-05-04,economist,P,R,Trump,0.254,,,0.462
2020-05-05,economist,P,D,Biden,0.738,,,0.5379999999999999
2020-05-05,economist,P,R,Trump,0.258,,,0.462
2020-05-06,economist,P,D,Biden,0.721,,,0.5329999999999999
2020-05-06,economist,P,R,Trump,0.27399999999999997,,,0.467
2020-05-07,economist,P,D,Biden,0.716,,,0.532
2020-05-07,economist,P,R,Trump,0.27899999999999997,,,0.46799999999999997
2020-05-08,economist,P,D,Biden,0.72,,,0.532
2020-05-08,economist,P,R,Trump,0.275,,,0.46799999999999997
2020-05-09,economist,P,D,Biden,0.72,,,0.534
2020-05-09,economist,P,R,Trump,0.275,,,0.466
2020-05-10,economist,P,D,Biden,0.7170000000000001,,,0.5329999999999999
2020-05-10,economist,P,R,Trump,0.278,,,0.467
2020-05-11,economist,P,D,Biden,0.733,,,0.535
2020-05-11,economist,P,R,Trump,0.263,,,0.465
2020-05-12,economist,P,D,Biden,0.728,,,0.5329999999999999
2020-05-12,economist,P,R,Trump,0.268,,,0.467
2020-05-13,economist,P,D,Biden,0.7240000000000001,,,0.534
2020-05-13,economist,P,R,Trump,0.271,,,0.466
2020-05-14,economist,P,D,Biden,0.721,,,0.534
2020-05-14,economist,P,R,Trump,0.275,,,0.466
2020-05-15,economist,P,D,Biden,0.74,,,0.537
2020-05-15,economist,P,R,Trump,0.256,,,0.46299999999999997
2020-05-16,economist,P,D,Biden,0.74,,,0.535
2020-05-16,economist,P,R,Trump,0.256,,,0.465
2020-05-17,economist,P,D,Biden,0.741,,,0.536
2020-05-17,economist,P,R,Trump,0.254,,,0.46399999999999997
2020-05-18,economist,P,D,Biden,0.745,,,0.5379999999999999
2020-05-18,economist,P,R,Trump,0.251,,,0.462
2020-05-19,economist,P,D,Biden,0.742,,,0.536
2020-05-19,economist,P,R,Trump,0.254,,,0.46399999999999997
2020-05-20,economist,P,D,Biden,0.7340000000000001,,,0.535
2020-05-20,economist,P,R,Trump,0.262,,,0.465
2020-05-21,economist,P,D,Biden,0.7659999999999999,,,0.539
2020-05-21,economist,P,R,Trump,0.23,,,0.461
2020-05-22,economist,P,D,Biden,0.754,,,0.536
2020-05-22,economist,P,R,Trump,0.24100000000000002,,,0.46399999999999997
2020-05-23,economist,P,D,Biden,0.7509999999999999,,,0.536
2020-05-23,economist,P,R,Trump,0.245,,,0.46399999999999997
2020-05-24,economist,P,D,Biden,0.753,,,0.534
2020-05-24,economist,P,R,Trump,0.243,,,0.466
2020-05-25,economist,P,D,Biden,0.7490000000000001,,,0.536
2020-05-25,economist,P,R,Trump,0.247,,,0.46399999999999997
2020-05-26,economist,P,D,Biden,0.754,,,0.537
2020-05-26,economist,P,R,Trump,0.242,,,0.46299999999999997
2020-05-27,economist,P,D,Biden,0.743,,,0.535
2020-05-27,economist,P,R,Trump,0.253,,,0.465
2020-05-28,economist,P,D,Biden,0.745,,,0.534
2020-05-28,economist,P,R,Trump,0.25,,,0.466
2020-05-29,economist,P,D,Biden,0.743,,,0.536
2020-05-29,economist,P,R,Trump,0.253,,,0.46399999999999997
2020-05-30,economist,P,D,Biden,0.7559999999999999,,,0.535
2020-05-30,economist,P,R,Trump,0.24,,,0.465
2020-05-31,economist,P,D,Biden,0.757,,,0.5379999999999999
2020-05-31,economist,P,R,Trump,0.239,,,0.462
2020-06-01,economist,P,D,Biden,0.777,,,0.542
2020-06-01,economist,P,R,Trump,0.218,,,0.45799999999999996
2020-06-02,economist,P,D,Biden,0.7759999999999999,,,0.539
2020-06-02,economist,P,R,Trump,0.22,,,0.461
2020-06-03,economist,P,D,Biden,0.773,,,0.54
2020-06-03,economist,P,R,Trump,0.223,,,0.46
2020-06-04,economist,P,D,Biden,0.769,,,0.539
2020-06-04,economist,P,R,Trump,0.22699999999999998,,,0.461
2020-06-05,economist,P,D,Biden,0.7709999999999999,,,0.5379999999999999
2020-06-05,economist,P,R,Trump,0.225,,,0.462
2020-06-06,economist,P,D,Biden,0.77,,,0.5379999999999999
2020-06-06,economist,P,R,Trump,0.226,,,0.462
2020-06-07,economist,P,D,Biden,0.789,,,0.5379999999999999
2020-06-07,economist,P,R,Trump,0.20800000000000002,,,0.462
2020-06-08,economist,P,D,Biden,0.797,,,0.5429999999999999
2020-06-08,economist,P,R,Trump,0.2,,,0.457
2020-06-09,economist,P,D,Biden,0.816,,,0.545
2020-06-09,economist,P,R,Trump,0.18100000000000002,,,0.455
2020-06-10,economist,P,D,Biden,0.8220000000000001,,,0.545
2020-06-10,economist,P,R,Trump,0.175,,,0.455
2020-06-11,economist,P,D,Biden,0.8390000000000001,,,0.547
2020-06-11,economist,P,R,Trump,0.158,,,0.45299999999999996
2020-06-12,economist,P,D,Biden,0.838,,,0.5489999999999999
2020-06-12,economist,P,R,Trump,0.159,,,0.451
2020-06-13,economist,P,D,Biden,0.83,,,0.546
2020-06-13,economist,P,R,Trump,0.16699999999999998,,,0.45399999999999996
2020-06-14,economist,P,D,Biden,0.835,,,0.5479999999999999
2020-06-14,economist,P,R,Trump,0.161,,,0.452
2020-06-15,economist,P,D,Biden,0.8440000000000001,,,0.5489999999999999
2020-06-15,economist,P,R,Trump,0.152,,,0.451
2020-06-16,economist,P,D,Biden,0.8540000000000001,,,0.551
2020-06-16,economist,P,R,Trump,0.14300000000000002,,,0.449
2020-06-17,economist,P,D,Biden,0.858,,,0.552
2020-06-17,economist,P,R,Trump,0.138,,,0.44799999999999995
2020-06-18,economist,P,D,Biden,0.8490000000000001,,,0.55
2020-06-18,economist,P,R,Trump,0.147,,,0.45
2020-06-19,economist,P,D,Biden,0.848,,,0.55
2020-06-19,economist,P,R,Trump,0.149,,,0.45
2020-06-20,economist,P,D,Biden,0.855,,,0.5529999999999999
2020-06-20,economist,P,R,Trump,0.142,,,0.447
2020-06-21,economist,P,D,Biden,0.8590000000000001,,,0.55
2020-06-21,economist,P,R,Trump,0.139,,,0.45
2020-06-22,economist,P,D,Biden,0.84,,,0.547
2020-06-22,economist,P,R,Trump,0.157,,,0.45299999999999996
2020-06-23,economist,P,D,Biden,0.838,,,0.547
2020-06-23,economist,P,R,Trump,0.159,,,0.45299999999999996
2020-06-24,economist,P,D,Biden,0.835,,,0.546
2020-06-24,economist,P,R,Trump,0.161,,,0.45399999999999996
2020-06-25,economist,P,D,Biden,0.85,,,0.55
2020-06-25,economist,P,R,Trump,0.147,,,0.45
2020-06-26,economist,P,D,Biden,0.847,,,0.5489999999999999
2020-06-26,economist,P,R,Trump,0.15,,,0.451
2020-06-27,economist,P,D,Biden,0.851,,,0.5479999999999999
2020-06-27,economist,P,R,Trump,0.146,,,0.452
2020-06-28,economist,P,D,Biden,0.841,,,0.546
2020-06-28,economist,P,R,Trump,0.155,,,0.45399999999999996
2020-06-29,economist,P,D,Biden,0.8440000000000001,,,0.5489999999999999
2020-06-29,economist,P,R,Trump,0.153,,,0.451
2020-06-30,economist,P,D,Biden,0.846,,,0.5479999999999999
2020-06-30,economist,P,R,Trump,0.151,,,0.452
2020-07-01,economist,P,D,Biden,0.857,,,0.5479999999999999
2020-07-01,economist,P,R,Trump,0.139,,,0.452
2020-07-02,economist,P,D,Biden,0.846,,,0.5489999999999999
2020-07-02,economist,P,R,Trump,0.15,,,0.451
2020-07-03,economist,P,D,Biden,0.841,,,0.55
2020-07-03,economist,P,R,Trump,0.155,,,0.45
2020-07-04,economist,P,D,Biden,0.8340000000000001,,,0.547
2020-07-04,economist,P,R,Trump,0.162,,,0.45299999999999996
2020-07-05,economist,P,D,Biden,0.8370000000000001,,,0.547
2020-07-05,economist,P,R,Trump,0.16,,,0.45299999999999996
2020-07-06,economist,P,D,Biden,0.836,,,0.547
2020-07-06,economist,P,R,Trump,0.16,,,0.45299999999999996
2020-07-07,economist,P,D,Biden,0.831,,,0.5489999999999999
2020-07-07,economist,P,R,Trump,0.166,,,0.451
2020-07-08,economist,P,D,Biden,0.8290000000000001,,,0.546
2020-07-08,economist,P,R,Trump,0.16699999999999998,,,0.45399999999999996
2020-07-09,economist,P,D,Biden,0.831,,,0.547
2020-07-09,economist,P,R,Trump,0.165,,,0.45299999999999996
2020-07-10,economist,P,D,Biden,0.848,,,0.55
2020-07-10,economist,P,R,Trump,0.149,,,0.45
2020-07-11,economist,P,D,Biden,0.853,,,0.5479999999999999
2020-07-11,economist,P,R,Trump,0.14400000000000002,,,0.452
2020-07-12,economist,P,D,Biden,0.852,,,0.547
2020-07-12,economist,P,R,Trump,0.145,,,0.45299999999999996
2020-07-13,economist,P,D,Biden,0.8440000000000001,,,0.545
2020-07-13,economist,P,R,Trump,0.153,,,0.455
2020-07-14,economist,P,D,Biden,0.871,,,0.55
2020-07-14,economist,P,R,Trump,0.126,,,0.45
2020-07-15,economist,P,D,Biden,0.883,,,0.5539999999999999
2020-07-15,economist,P,R,Trump,0.114,,,0.446
2020-07-16,economist,P,D,Biden,0.883,,,0.552
2020-07-16,economist,P,R,Trump,0.115,,,0.44799999999999995
2020-07-17,economist,P,D,Biden,0.885,,,0.5529999999999999
2020-07-17,economist,P,R,Trump,0.11199999999999999,,,0.447
2020-07-18,economist,P,D,Biden,0.879,,,0.5529999999999999
2020-07-18,economist,P,R,Trump,0.11800000000000001,,,0.447
2020-07-19,economist,P,D,Biden,0.8759999999999999,,,0.552
2020-07-19,economist,P,R,Trump,0.121,,,0.44799999999999995
2020-07-20,economist,P,D,Biden,0.87,,,0.547
2020-07-20,economist,P,R,Trump,0.127,,,0.45299999999999996
2020-07-21,economist,P,D,Biden,0.87,,,0.55
2020-07-21,economist,P,R,Trump,0.127,,,0.45
2020-07-22,economist,P,D,Biden,0.862,,,0.5479999999999999
2020-07-22,economist,P,R,Trump,0.134,,,0.452
2020-07-23,economist,P,D,Biden,0.877,,,0.5489999999999999
2020-07-23,economist,P,R,Trump,0.12,,,0.451
2020-07-24,economist,P,D,Biden,0.8740000000000001,,,0.5479999999999999
2020-07-24,economist,P,R,Trump,0.122,,,0.452
2020-07-25,economist,P,D,Biden,0.857,,,0.546
2020-07-25,economist,P,R,Trump,0.14,,,0.45399999999999996
2020-07-26,economist,P,D,Biden,0.861,,,0.547
2020-07-26,economist,P,R,Trump,0.135,,,0.45299999999999996
2020-07-27,economist,P,D,Biden,0.856,,,0.545
2020-07-27,economist,P,R,Trump,0.141,,,0.455
2020-07-28,economist,P,D,Biden,0.863,,,0.546
2020-07-28,economist,P,R,Trump,0.133,,,0.45399999999999996
2020-07-29,economist,P,D,Biden,0.858,,,0.547
2020-07-29,economist,P,R,Trump,0.139,,,0.45299999999999996
2020-07-30,economist,P,D,Biden,0.865,,,0.5489999999999999
2020-07-30,economist,P,R,Trump,0.132,,,0.451
2020-07-31,economist,P,D,Biden,0.866,,,0.5479999999999999
2020-07-31,economist,P,R,Trump,0.131,,,0.452
2020-08-01,economist,P,D,Biden,0.8640000000000001,,,0.547
2020-08-01,economist,P,R,Trump,0.134,,,0.45299999999999996
2020-08-02,economist,P,D,Biden,0.871,,,0.5479999999999999
2020-08-02,economist,P,R,Trump,0.126,,,0.452
2020-08-03,economist,P,D,Biden,0.862,,,0.547
2020-08-03,economist,P,R,Trump,0.135,,,0.45299999999999996
2020-08-04,economist,P,D,Biden,0.861,,,0.5479999999999999
2020-08-04,economist,P,R,Trump,0.135,,,0.452
2020-08-05,economist,P,D,Biden,0.865,,,0.5479999999999999
2020-08-05,economist,P,R,Trump,0.132,,,0.452
2020-08-06,economist,P,D,Biden,0.875,,,0.5489999999999999
2020-08-06,economist,P,R,Trump,0.122,,,0.451
2020-08-07,economist,P,D,Biden,0.879,,,0.55
2020-08-07,economist,P,R,Trump,0.11800000000000001,,,0.45
2020-08-08,economist,P,D,Biden,0.877,,,0.5529999999999999
2020-08-08,economist,P,R,Trump,0.121,,,0.447
2020-08-09,economist,P,D,Biden,0.8740000000000001,,,0.5489999999999999
2020-08-09,economist,P,R,Trump,0.12300000000000001,,,0.451
2020-08-10,economist,P,D,Biden,0.865,,,0.5479999999999999
2020-08-10,economist,P,R,Trump,0.132,,,0.452
2020-08-11,economist,P,D,Biden,0.858,,,0.5479999999999999
2020-08-11,economist,P,R,Trump,0.138,,,0.452
2020-08-12,economist,P,D,Biden,0.868,,,0.5479999999999999
2020-08-12,economist,P,R,Trump,0.129,,,0.452
2020-08-13,economist,P,D,Biden,0.8590000000000001,,,0.544
2020-08-13,economist,P,R,Trump,0.138,,,0.456
2020-08-14,economist,P,D,Biden,0.866,,,0.5479999999999999
2020-08-14,economist,P,R,Trump,0.131,,,0.452
2020-08-15,economist,P,D,Biden,0.8640000000000001,,,0.547
2020-08-15,economist,P,R,Trump,0.133,,,0.45299999999999996
2020-08-16,economist,P,D,Biden,0.852,,,0.544
2020-08-16,economist,P,R,Trump,0.14400000000000002,,,0.456
2020-08-17,economist,P,D,Biden,0.847,,,0.544
2020-08-17,economist,P,R,Trump,0.15,,,0.456
2020-08-18,economist,P,D,Biden,0.845,,,0.5429999999999999
2020-08-18,economist,P,R,Trump,0.152,,,0.457
2020-08-19,economist,P,D,Biden,0.8540000000000001,,,0.544
2020-08-19,economist,P,R,Trump,0.142,,,0.456
2020-08-20,economist,P,D,Biden,0.847,,,0.544
2020-08-20,economist,P,R,Trump,0.149,,,0.456
2020-08-21,economist,P,D,Biden,0.863,,,0.545
2020-08-21,economist,P,R,Trump,0.135,,,0.455
2020-08-22,economist,P,D,Biden,0.861,,,0.546
2020-08-22,economist,P,R,Trump,0.135,,,0.45399999999999996
2020-08-23,economist,P,D,Biden,0.8690000000000001,,,0.547
2020-08-23,economist,P,R,Trump,0.128,,,0.45299999999999996
2020-08-24,economist,P,D,Biden,0.887,,,0.5489999999999999
2020-08-24,economist,P,R,Trump,0.111,,,0.451
2020-08-25,economist,P,D,Biden,0.882,,,0.55
2020-08-25,economist,P,R,Trump,0.115,,,0.45
2020-08-26,economist,P,D,Biden,0.8909999999999999,,,0.5479999999999999
2020-08-26,economist,P,R,Trump,0.106,,,0.452
2020-08-27,economist,P,D,Biden,0.871,,,0.547
2020-08-27,economist,P,R,Trump,0.125,,,0.45299999999999996
2020-08-28,economist,P,D,Biden,0.8640000000000001,,,0.547
2020-08-28,economist,P,R,Trump,0.133,,,0.45299999999999996
2020-08-29,economist,P,D,Biden,0.85,,,0.544
2020-08-29,economist,P,R,Trump,0.147,,,0.456
2020-08-30,economist,P,D,Biden,0.8440000000000001,,,0.542
2020-08-30,economist,P,R,Trump,0.152,,,0.45799999999999996
2020-08-31,economist,P,D,Biden,0.8490000000000001,,,0.5429999999999999
2020-08-31,economist,P,R,Trump,0.147,,,0.457
2020-09-01,economist,P,D,Biden,0.831,,,0.542
2020-09-01,economist,P,R,Trump,0.165,,,0.45799999999999996
2020-09-02,economist,P,D,Biden,0.843,,,0.5429999999999999
2020-09-02,economist,P,R,Trump,0.153,,,0.457
2020-09-03,economist,P,D,Biden,0.8320000000000001,,,0.5429999999999999
2020-09-03,economist,P,R,Trump,0.165,,,0.457
2020-09-04,economist,P,D,Biden,0.8270000000000001,,,0.541
2020-09-04,economist,P,R,Trump,0.16899999999999998,,,0.45899999999999996
2020-09-05,economist,P,D,Biden,0.8290000000000001,,,0.542
2020-09-05,economist,P,R,Trump,0.16699999999999998,,,0.45799999999999996
2020-09-06,economist,P,D,Biden,0.8370000000000001,,,0.5429999999999999
2020-09-06,economist,P,R,Trump,0.16,,,0.457
2020-09-07,economist,P,D,Biden,0.84,,,0.54
2020-09-07,economist,P,R,Trump,0.156,,,0.46
2020-09-08,economist,P,D,Biden,0.833,,,0.54
2020-09-08,economist,P,R,Trump,0.16399999999999998,,,0.46
2020-09-09,economist,P,D,Biden,0.853,,,0.541
2020-09-09,economist,P,R,Trump,0.14400000000000002,,,0.45899999999999996
2020-09-10,economist,P,D,Biden,0.8440000000000001,,,0.539
2020-09-10,economist,P,R,Trump,0.152,,,0.461
2020-09-11,economist,P,D,Biden,0.8370000000000001,,,0.539
2020-09-11,economist,P,R,Trump,0.159,,,0.461
2020-09-12,economist,P,D,Biden,0.831,,,0.5379999999999999
2020-09-12,economist,P,R,Trump,0.165,,,0.462
2020-09-13,economist,P,D,Biden,0.8390000000000001,,,0.539
2020-09-13,economist,P,R,Trump,0.157,,,0.461
2020-09-14,economist,P,D,Biden,0.8440000000000001,,,0.54
2020-09-14,economist,P,R,Trump,0.152,,,0.46
2020-09-15,economist,P,D,Biden,0.8420000000000001,,,0.539
2020-09-15,economist,P,R,Trump,0.154,,,0.461
2020-09-16,economist,P,D,Biden,0.8640000000000001,,,0.541
2020-09-16,economist,P,R,Trump,0.133,,,0.45899999999999996
2020-09-17,economist,P,D,Biden,0.86,,,0.54
2020-09-17,economist,P,R,Trump,0.136,,,0.46
2020-09-18,economist,P,D,Biden,0.87,,,0.539
2020-09-18,economist,P,R,Trump,0.126,,,0.461
2020-09-19,economist,P,D,Biden,0.861,,,0.54
2020-09-19,economist,P,R,Trump,0.135,,,0.46
2020-09-20,economist,P,D,Biden,0.865,,,0.539
2020-09-20,economist,P,R,Trump,0.131,,,0.461
2020-09-21,economist,P,D,Biden,0.856,,,0.537
2020-09-21,economist,P,R,Trump,0.139,,,0.46299999999999997
2020-09-22,economist,P,D,Biden,0.852,,,0.537
2020-09-22,economist,P,R,Trump,0.14400000000000002,,,0.46299999999999997
2020-09-23,economist,P,D,Biden,0.8540000000000001,,,0.54
2020-09-23,economist,P,R,Trump,0.142,,,0.46
2020-09-24,economist,P,D,Biden,0.85,,,0.5379999999999999
2020-09-24,economist,P,R,Trump,0.146,,,0.462
2020-09-25,economist,P,D,Biden,0.8540000000000001,,,0.539
2020-09-25,economist,P,R,Trump,0.141,,,0.461
2020-09-26,economist,P,D,Biden,0.853,,,0.539
2020-09-26,economist,P,R,Trump,0.14300000000000002,,,0.461
2020-09-27,economist,P,D,Biden,0.85,,,0.54
2020-09-27,economist,P,R,Trump,0.146,,,0.46
2020-09-28,economist,P,D,Biden,0.853,,,0.541
2020-09-28,economist,P,R,Trump,0.14300000000000002,,,0.45899999999999996
2020-09-29,economist,P,D,Biden,0.867,,,0.539
2020-09-29,economist,P,R,Trump,0.13,,,0.461
2020-09-30,economist,P,D,Biden,0.878,,,0.541
2020-09-30,economist,P,R,Trump,0.11800000000000001,,,0.45899999999999996
2020-10-01,economist,P,D,Biden,0.892,,,0.5429999999999999
2020-10-01,economist,P,R,Trump,0.10400000000000001,,,0.457
2020-10-02,economist,P,D,Biden,0.867,,,0.5379999999999999
2020-10-02,economist,P,R,Trump,0.129,,,0.462
2020-10-03,economist,P,D,Biden,0.871,,,0.54
2020-10-03,economist,P,R,Trump,0.126,,,0.46
2020-10-04,economist,P,D,Biden,0.8859999999999999,,,0.542
2020-10-04,economist,P,R,Trump,0.11,,,0.45799999999999996
2020-10-05,economist,P,D,Biden,0.8959999999999999,,,0.542
2020-10-05,economist,P,R,Trump,0.102,,,0.45799999999999996
2020-10-06,economist,P,D,Biden,0.9,,,0.5429999999999999
2020-10-06,economist,P,R,Trump,0.09699999999999999,,,0.457
2020-10-07,economist,P,D,Biden,0.9059999999999999,,,0.544
2020-10-07,economist,P,R,Trump,0.091,,,0.456
2020-10-08,economist,P,D,Biden,0.92,,,0.547
2020-10-08,economist,P,R,Trump,0.077,,,0.45299999999999996
2020-10-09,economist,P,D,Biden,0.919,,,0.544
2020-10-09,economist,P,R,Trump,0.079,,,0.456
2020-10-10,economist,P,D,Biden,0.9179999999999999,,,0.5429999999999999
2020-10-10,economist,P,R,Trump,0.079,,,0.457
2020-10-11,economist,P,D,Biden,0.9109999999999999,,,0.5429999999999999
2020-10-11,economist,P,R,Trump,0.087,,,0.457
2020-10-12,economist,P,D,Biden,0.9079999999999999,,,0.542
2020-10-12,economist,P,R,Trump,0.09,,,0.45799999999999996
2020-10-13,economist,P,D,Biden,0.912,,,0.541
