cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,step_no,value_inc,value_chal,value_3rd,weight,step_description,timestamp,simulations
2020,President,polls-plus,11/3/2020,Trump,Biden,"",West Virginia,1,62.13716,33.51517,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",West Virginia,10,.992825,.007175,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,9,36.99554,60.80156,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,8,41.08025,56.71685,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,7,36.99554,60.80156,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,6,36.2455,61.55159,,.3632783,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,5,37.42347,60.37363,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,4,.9795532,.9795494,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,3,36.44392,59.39408,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,1,36.44392,59.39408,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,10,.00845,.99155,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,9,43.28141,55.78529,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,8,47.53333,51.53338,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,7,43.28141,55.78529,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,6,41.97566,57.09105,,.2075899,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,5,43.62349,55.44322,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,4,1.722214,1.722214,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,3,41.90127,53.72101,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,1,41.90127,53.72101,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,10,.009775,.990225,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,9,28.96526,67.35507,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,8,32.69085,63.62948,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,7,28.96526,67.35507,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,6,29.26148,67.05885,,.374746,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,5,28.78772,67.53261,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,4,1.017048,1.017044,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,3,27.77067,66.51556,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,1,27.77067,66.51556,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,10,.004025,.995975,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,9,55.49554,41.6984,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,8,59.57781,37.61613,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,7,55.49554,41.6984,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,6,59.60456,37.58939,,.3247445,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,5,53.51944,43.67451,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,4,1.599602,1.599602,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,3,51.91983,42.07491,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,1,51.91983,42.07491,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,10,.9544,.0456,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,9,50.30696,48.78962,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,8,54.57207,44.52451,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,7,50.30696,48.78962,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,6,52.69384,46.40274,,.0732318,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,5,50.11835,48.97823,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,4,1.530415,1.530418,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,3,48.58794,47.44781,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,1,48.58794,47.44781,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,10,.617525,.382475,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,9,57.26666,41.55365,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,8,61.39529,37.42502,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,7,57.26665,41.55365,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,6,58.84432,39.97599,,.3986327,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,5,56.22086,42.59945,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,4,1.154343,1.154343,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,3,55.06652,41.44511,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,2,-.050518,.0210838,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,1,55.11703,41.42402,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,10,.967525,.032475,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,9,57.83313,40.78484,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,8,61.93407,36.68389,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,7,57.83313,40.78484,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,6,59.27574,39.34222,,.3573434,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,5,57.03098,41.58699,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,4,2.544537,2.544533,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,3,54.48644,39.04246,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,1,54.48644,39.04246,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,10,.948125,.051875,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,9,53.36808,45.88861,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,8,57.60451,41.65218,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,7,53.36808,45.88861,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,6,54.14263,45.11405,,.2040497,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,5,53.16951,46.08717,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,4,1.579582,1.579586,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,3,51.58993,44.50759,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,1,51.58993,44.50759,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Carolina,10,.899975,.100025,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,9,35.6321,62.9809,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,8,39.69975,58.91325,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,7,35.6321,62.9809,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,6,36.50851,62.10449,,.6472684,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,5,34.02387,64.58913,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,4,1.659901,1.659908,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,3,32.36397,62.92922,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,1,32.36397,62.92922,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Rhode Island,10,.00085,.99915,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,9,47.31551,51.98931,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,8,51.60101,47.70381,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,7,47.31551,51.98931,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,6,45.88602,53.4188,,.0069211,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,5,47.32547,51.97935,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,4,1.775124,1.775127,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,3,45.55034,50.20422,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,1,45.55034,50.20422,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Pennsylvania,10,.1569,.8431,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,9,39.26397,58.72105,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,8,43.41108,54.57395,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,7,39.26397,58.72105,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,6,40.82025,57.16477,,.3683354,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,5,38.35648,59.62854,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,4,.9243202,.9243164,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,3,37.43216,58.70422,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,1,37.43216,58.70422,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oregon,10,.01845,.98155,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,9,62.09821,36.84433,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,8,66.07149,32.87105,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,7,62.09821,36.84433,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,6,64.69243,34.25011,,.306533,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,5,60.95148,37.99105,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,4,1.768147,1.76815,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,3,59.18334,36.2229,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,1,59.18334,36.2229,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Oklahoma,10,.994275,.005725,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,9,49.79581,49.20268,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,8,54.06005,44.93844,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,7,49.79581,49.20268,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,6,48.64915,50.34934,,.0659807,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,5,49.87682,49.12168,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,4,2.35004,2.350044,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,3,47.52678,46.77164,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,1,47.52678,46.77164,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Ohio,10,.546725,.453275,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,9,59.67155,37.91569,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,8,63.65038,33.93687,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,7,59.67156,37.91569,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,6,62.95291,34.63433,,.4036286,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,5,57.45071,40.13653,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,4,1.414585,1.414589,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,3,56.03613,38.72194,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,1,56.03613,38.72194,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Dakota,10,.975925,.024075,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,9,48.76021,50.54115,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,8,53.04348,46.25788,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,7,48.76021,50.54115,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,6,48.76492,50.53644,,.0133373,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,5,48.76015,50.54122,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,4,1.63763,1.63763,,,Reallocate undecideds and third-party votes,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,3,47.12252,48.90359,,,Adjusted polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,2,0,0,,,Adjust for bounces & recent events,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,1,47.12252,48.90359,,,Polling average,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",North Carolina,10,.360675,.639325,,,Chance of winning,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",New York,9,34.93815,64.0797,,,Projected vote share,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",New York,8,38.99364,60.02421,,0,Blend with economic fundamentals,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",New York,7,34.93815,64.0797,,,Snapshot,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",New York,6,35.04881,63.96903,,.3475935,Blend with regression,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",New York,5,34.87919,64.13866,,,Reallocated vote share,00:00:48  3 Nov 2020,40000
