date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-11-03,pollyvote,P,NE,R,Trump,0.98,,,
2020-11-03,pollyvote,P,OK,D,Biden,0.01,,,
2020-11-03,pollyvote,P,OK,R,Trump,0.99,,,
2020-11-03,pollyvote,P,SC,D,Biden,0.05,,,
2020-11-03,pollyvote,P,SC,R,Trump,0.95,,,
2020-11-03,pollyvote,P,SD,D,Biden,0.02,,,
2020-11-03,pollyvote,P,SD,R,Trump,0.98,,,
2020-11-03,pollyvote,P,TN,D,Biden,0.02,,,
2020-11-03,pollyvote,P,TN,R,Trump,0.98,,,
2020-11-03,pollyvote,P,UT,D,Biden,0.04,,,
2020-11-03,pollyvote,P,UT,R,Trump,0.96,,,
2020-11-03,pollyvote,P,WV,D,Biden,0.02,,,
2020-11-03,pollyvote,P,WV,R,Trump,0.98,,,
2020-11-03,pollyvote,P,WY,D,Biden,0.01,,,
2020-11-03,pollyvote,P,WY,R,Trump,0.99,,,
2020-11-03,pollyvote,P,NE_01,D,Biden,0.03,,,
2020-11-03,pollyvote,P,NE_01,R,Trump,0.97,,,
2020-11-03,pollyvote,P,NE_02,D,Biden,0.43,,,
2020-11-03,pollyvote,P,NE_02,R,Trump,0.57,,,
2020-11-03,pollyvote,P,NE_03,D,Biden,0.18,,,
2020-11-03,pollyvote,P,NE_03,R,Trump,0.82,,,
2020-11-03,pollyvote,P,ME_01,D,Biden,0.97,,,
2020-11-03,pollyvote,P,ME_01,R,Trump,0.03,,,
2020-11-03,pollyvote,P,ME_02,D,Biden,0.69,,,
2020-11-03,pollyvote,P,ME_02,R,Trump,0.31,,,
